iter,frame_idx,model_type,loss,image_loss,eikonal_loss,image_loss_raw,eikonal_loss_raw,image_weight,igr_weight,lr,inv_s,cos_anneal_ratio,n_height,target_mean,target_max,pred_mean,pred_max,alpha_mean,alpha_max,weight_mean,weight_max,point_weight_mean,point_weight_max,sdf_min,sdf_max,density_min,density_max,sdf_residual_mean,sdf_residual_abs_mean,sdf_residual_abs_max
11,9,nerf,1.2381194829940796,1.2381194829940796,0.0,1.2381194829940796,0.0,1.0,0.1,2.5e-05,nan,0.0625,64,0.0268353633582592,1.0,0.009415971115231514,0.06556403636932373,0.0014862543903291225,0.280927836894989,0.0007265384774655104,0.1149744838476181,7.688230994062906e-07,0.00012166600208729506,nan,nan,0.0,20.0,6.906107591930777e-05,6.906107591930777e-05,7.384119089692831e-05
12,12,nerf,1.2368003129959106,1.2368003129959106,0.0,1.2368003129959106,0.0,1.0,0.1,2.7500000000000004e-05,nan,0.06875,64,0.031163834035396576,1.0,0.009623952209949493,0.06579598784446716,0.008784949779510498,0.4865831136703491,0.0020519811660051346,0.165631964802742,2.1714063223043922e-06,0.0001752717507770285,nan,nan,0.0,20.0,8.482187695335597e-05,8.482187695335597e-05,9.094505367102101e-05
13,10,nerf,1.2686576843261719,1.2686576843261719,0.0,1.2686576843261719,0.0,1.0,0.1,3e-05,nan,0.075,64,0.02928921766579151,1.0,0.01002264954149723,0.06545340269804001,0.016568709164857864,0.4865829348564148,0.0032922476530075073,0.20861747860908508,3.483856517050299e-06,0.00022075901506468654,nan,nan,0.0,20.0,0.00010254644439555705,0.00010254644439555705,0.00010950870637316257
14,7,nerf,1.2836272716522217,1.2836272716522217,0.0,1.2836272716522217,0.0,1.0,0.1,3.2500000000000004e-05,nan,0.08125,64,0.03151042014360428,1.0,0.010345712304115295,0.06488385051488876,0.020325489342212677,0.48658281564712524,0.0039787134155631065,0.20990872383117676,4.21027425545617e-06,0.00022212541080079973,nan,nan,0.0,20.0,0.00012214260641485453,0.00012214260641485453,0.0001305892801610753
15,2,nerf,1.3058477640151978,1.3058477640151978,0.0,1.3058477640151978,0.0,1.0,0.1,3.5e-05,nan,0.0875,64,0.02785884030163288,1.0,0.010345064103603363,0.06488398462533951,0.020322144031524658,0.48658281564712524,0.003978244960308075,0.21584975719451904,4.209779490338406e-06,0.00022841221652925014,nan,nan,0.0,20.0,0.0001438120671082288,0.0001438120671082288,0.00015399674884974957
16,17,nerf,1.2313868999481201,1.2313868999481201,0.0,1.2313868999481201,0.0,1.0,0.1,3.7500000000000003e-05,nan,0.09375,64,0.02800915390253067,1.0,0.00941328052431345,0.06556239724159241,0.001482417806982994,0.2805413007736206,0.0007253605872392654,0.10725241154432297,7.675766369175108e-07,0.0001134945050580427,nan,nan,0.0,20.0,0.00016758234414737672,0.00016758234414737672,0.00017929388559423387
17,3,nerf,1.2831294536590576,1.2831294536590576,0.0,1.2831294536590576,0.0,1.0,0.1,4e-05,nan,0.1,64,0.02908528596162796,1.0,0.010020042769610882,0.06545037031173706,0.016555801033973694,0.48658287525177,0.0032904688268899918,0.19467513263225555,3.4819740903913043e-06,0.00020600523566827178,nan,nan,0.0,20.0,0.00019357557175680995,0.00019357557175680995,0.00020762591157108545
18,8,nerf,1.2461234331130981,1.2461234331130981,0.0,1.2461234331130981,0.0,1.0,0.1,4.25e-05,nan,0.10625,64,0.032006360590457916,1.0,0.009620153345167637,0.06579051166772842,0.008769362233579159,0.48658281564712524,0.0020496989600360394,0.16560661792755127,2.1689911591238342e-06,0.00017524493159726262,nan,nan,0.0,20.0,0.00022197423095349222,0.00022197423095349222,0.00023909365700092167
19,4,nerf,1.2298134565353394,1.2298134565353394,0.0,1.2298134565353394,0.0,1.0,0.1,4.5e-05,nan,0.1125,64,0.03153818100690842,1.0,0.009410927072167397,0.06556100398302078,0.001479240832850337,0.28021591901779175,0.0007243809523060918,0.10721361637115479,7.665399834877462e-07,0.00011345345410518348,nan,nan,0.0,20.0,0.0002530830097384751,0.0002530830097384751,0.0002716941526159644
20,14,nerf,1.2414271831512451,1.2414271831512451,0.0,1.2414271831512451,0.0,1.0,0.1,4.75e-05,nan,0.11875,64,0.03053577058017254,1.0,0.009618360549211502,0.06578721106052399,0.008761810138821602,0.4865823984146118,0.002048599999397993,0.19510647654533386,2.167828597521293e-06,0.00020646168559323996,nan,nan,0.0,20.0,0.0002870459866244346,0.0002870459866244346,0.00030905616586096585
21,15,nerf,1.304742455482483,1.304742455482483,0.0,1.304742455482483,0.0,1.0,0.1,5e-05,nan,0.125,64,0.03173253685235977,1.0,0.01033988781273365,0.06488198041915894,0.020294083282351494,0.48658281564712524,0.003974400460720062,0.2158200442790985,4.2057104110426735e-06,0.00022838076984044164,nan,nan,0.0,20.0,0.0003237515047658235,0.0003237515047658235,0.00034912957926280797
22,11,nerf,1.2832252979278564,1.2832252979278564,0.0,1.2832252979278564,0.0,1.0,0.1,4.999997010470165e-05,nan,0.13125,64,0.028455309569835663,1.0,0.010338682681322098,0.06488136202096939,0.02028837241232395,0.4865829348564148,0.00397359486669302,0.20993326604366302,4.204858214507112e-06,0.00022215138596948236,nan,nan,0.0,20.0,0.00036372081376612186,0.00036372081376612186,0.000392269081203267
23,13,nerf,1.2036151885986328,1.2036151885986328,0.0,1.2036151885986328,0.0,1.0,0.1,4.999988041888184e-05,nan,0.1375,64,0.03298387676477432,1.0,0.009371504187583923,0.06488446146249771,0.0002491115592420101,0.06679391860961914,0.00020320439944043756,0.048360176384449005,2.1503090863461694e-07,5.117473847349174e-05,nan,nan,0.0,20.0,0.0004053075681440532,0.0004053075681440532,0.0004378547891974449
24,9,nerf,1.2370675802230835,1.2370675802230835,0.0,1.2370675802230835,0.0,1.0,0.1,4.999973094276636e-05,nan,0.14375,64,0.0268353633582592,1.0,0.009405616670846939,0.06555664539337158,0.0014715769793838263,0.27943575382232666,0.0007220086408779025,0.11474891006946564,7.640296644240152e-07,0.00012142729974584654,nan,nan,0.0,20.0,0.00044845353113487363,0.00044845353113487363,0.00048525616875849664
25,8,nerf,1.2452927827835083,1.2452927827835083,0.0,1.2452927827835083,0.0,1.0,0.1,4.999952167673153e-05,nan,0.15,64,0.032006360590457916,1.0,0.009612642228603363,0.06577946990728378,0.00873829610645771,0.48658275604248047,0.0020451489835977554,0.16554930806159973,2.1641767489199992e-06,0.0001751842792145908,nan,nan,0.0,20.0,0.0004924056120216846,0.0004924056120216846,0.0005334349698387086
26,0,nerf,1.1801042556762695,1.1801042556762695,0.0,1.1801042556762695,0.0,1.0,0.1,4.999925262130417e-05,nan,0.15625,64,0.040558937937021255,1.0,0.009367872960865498,0.0648869201540947,0.00024778302758932114,0.0665178894996643,0.0002022956032305956,0.04821600764989853,2.1406918904176564e-07,5.102217983221635e-05,nan,nan,0.0,20.0,0.0005388978752307594,0.0005388978752307594,0.0005845575360581279
27,12,nerf,1.2352755069732666,1.2352755069732666,0.0,1.2352755069732666,0.0,1.0,0.1,4.999892377716161e-05,nan,0.1625,64,0.031163834035396576,1.0,0.00960999634116888,0.06577480584383011,0.008728882297873497,0.4865829348564148,0.002043764106929302,0.165544793009758,2.1627113255817676e-06,0.00017517950618639588,nan,nan,0.0,20.0,0.0005867319414392114,0.0005867319414392114,0.0006376368110068142
28,1,nerf,1.2326719760894775,1.2326719760894775,0.0,1.2326719760894775,0.0,1.0,0.1,4.999853514513174e-05,nan,0.16875,64,0.033269189298152924,1.0,0.009608588181436062,0.06577324122190475,0.008722560480237007,0.48658281564712524,0.0020428053103387356,0.19510439038276672,2.1616965568682645e-06,0.00020645947370212525,nan,nan,0.0,20.0,0.0006375156808644533,0.0006375156808644533,0.0006926888017915189
29,3,nerf,1.281667709350586,1.281667709350586,0.0,1.281667709350586,0.0,1.0,0.1,4.999808672619291e-05,nan,0.175,64,0.02908528596162796,1.0,0.010005836375057697,0.06543125957250595,0.01648610457777977,0.48658299446105957,0.003280824748799205,0.19467344880104065,3.471768422969035e-06,0.0002060034457826987,nan,nan,0.0,20.0,0.0006894444231875241,0.0006894444231875241,0.0007554615149274468
30,2,nerf,1.3041205406188965,1.3041205406188965,0.0,1.3041205406188965,0.0,1.0,0.1,4.999757852147405e-05,nan,0.18125,64,0.02785884030163288,1.0,0.010327594354748726,0.06487994641065598,0.020229985937476158,0.48658281564712524,0.00396554172039032,0.21570448577404022,4.196336703898851e-06,0.00022825849009677768,nan,nan,0.0,20.0,0.0007447379175573587,0.0007447379175573587,0.0008107114699669182
31,10,nerf,1.2665550708770752,1.2665550708770752,0.0,1.2665550708770752,0.0,1.0,0.1,4.999701053225454e-05,nan,0.1875,64,0.02928921766579151,1.0,0.010002651251852512,0.06542298197746277,0.016469426453113556,0.48658287525177,0.0032784752547740936,0.20881050825119019,3.469282546575414e-06,0.00022096328029874712,nan,nan,0.0,20.0,0.0008017323561944067,0.0008017323561944067,0.0008754950831644237
32,6,nerf,1.2689322233200073,1.2689322233200073,0.0,1.2689322233200073,0.0,1.0,0.1,4.99963827599643e-05,nan,0.19375,64,0.030962776392698288,1.0,0.010000918060541153,0.06542445719242096,0.016458896920084953,0.48658281564712524,0.003277135081589222,0.20891253650188446,3.46786464433535e-06,0.0002210712555097416,nan,nan,0.0,20.0,0.0008614917751401663,0.0008614917751401663,0.0009418661938980222
33,17,nerf,1.2292181253433228,1.2292181253433228,0.0,1.2292181253433228,0.0,1.0,0.1,4.999569520618374e-05,nan,0.2,64,0.02800915390253067,1.0,0.009392602369189262,0.06554795801639557,0.0014528145547956228,0.2775210738182068,0.0007162073161453009,0.10679997503757477,7.578905751870479e-07,0.00011301573977107182,nan,nan,0.0,20.0,0.0009233462624251842,0.0009233462624251842,0.0010113915195688605
34,7,nerf,1.2810695171356201,1.2810695171356201,0.0,1.2810695171356201,0.0,1.0,0.1,4.9994947872643795e-05,nan,0.20625,64,0.03151042014360428,1.0,0.010320513509213924,0.06487900018692017,0.02018873021006584,0.48658281564712524,0.003959984518587589,0.2100129872560501,4.190455001662485e-06,0.0002222357434220612,nan,nan,0.0,20.0,0.0009893063688650727,0.0009893063688650727,0.001084594987332821
35,5,nerf,1.2129034996032715,1.2129034996032715,0.0,1.2129034996032715,0.0,1.0,0.1,4.999414076122585e-05,nan,0.2125,64,0.03236251696944237,1.0,0.009388771839439869,0.06554736196994781,0.0014480139361694455,0.277030348777771,0.0007147173164412379,0.1143667921423912,7.563138524346869e-07,0.00012102294567739591,nan,nan,0.0,20.0,0.00105809117667377,0.00105809117667377,0.0011667123762890697
36,16,nerf,1.2655372619628906,1.2655372619628906,0.0,1.2655372619628906,0.0,1.0,0.1,4.9993273873961826e-05,nan,0.21875,64,0.02982824109494686,1.0,0.009993316605687141,0.06541012972593307,0.016418877989053726,0.48658186197280884,0.003271578811109066,0.1946505606174469,3.461984761088388e-06,0.0002059792313957587,nan,nan,0.0,20.0,0.0011292485287413,0.0011292485287413,0.0012604682706296444
37,4,nerf,1.2271251678466797,1.2271251678466797,0.0,1.2271251678466797,0.0,1.0,0.1,4.999234721303409e-05,nan,0.225,64,0.03153818100690842,1.0,0.009384654462337494,0.06554281711578369,0.0014438373036682606,0.2766297459602356,0.0007133991457521915,0.10671752691268921,7.549189717792615e-07,0.00011292848648736253,nan,nan,0.0,20.0,0.0012047607451677322,0.0012047607451677322,0.0013304537860676646
38,9,nerf,1.23476243019104,1.23476243019104,0.0,1.23476243019104,0.0,1.0,0.1,4.999136078077555e-05,nan,0.23125,64,0.0268353633582592,1.0,0.009382649324834347,0.06553763151168823,0.0014393494930118322,0.27613216638565063,0.000711970729753375,0.11423012614250183,7.534075052717526e-07,0.00012087832146789879,nan,nan,0.0,20.0,0.001285287318751216,0.001285287318751216,0.00142582633998245
39,3,nerf,1.2796456813812256,1.2796456813812256,0.0,1.2796456813812256,0.0,1.0,0.1,4.99903145796695e-05,nan,0.2375,64,0.02908528596162796,1.0,0.009986299090087414,0.0654025673866272,0.016391251236200333,0.4865817427635193,0.003267682623118162,0.19463799893856049,3.4578620216052514e-06,0.00020596593094523996,nan,nan,0.0,20.0,0.001367532298900187,0.001367532298900187,0.0015386317390948534
40,13,nerf,1.2006429433822632,1.2006429433822632,0.0,1.2006429433822632,0.0,1.0,0.1,4.9989208612349785e-05,nan,0.24375,64,0.03298387676477432,1.0,0.009342431090772152,0.06490525603294373,0.00023976598458830267,0.06484514474868774,0.00019676591909956187,0.04735170677304268,2.0821769908252463e-07,5.010757740819827e-05,nan,nan,0.0,20.0,0.001455129822716117,0.001455129822716117,0.001622594310902059
41,2,nerf,1.3017916679382324,1.3017916679382324,0.0,1.3017916679382324,0.0,1.0,0.1,4.998804288160065e-05,nan,0.25,64,0.02785884030163288,1.0,0.010304072871804237,0.06487058103084564,0.02010665461421013,0.48658186197280884,0.003948458470404148,0.21545925736427307,4.17825867771171e-06,0.0002279989857925102,nan,nan,0.0,20.0,0.0015501306625083089,0.0015501306625083089,0.001718504005111754
42,17,nerf,1.2271291017532349,1.2271291017532349,0.0,1.2271291017532349,0.0,1.0,0.1,4.998681739035685e-05,nan,0.25625,64,0.02800915390253067,1.0,0.009372732602059841,0.06553175300359726,0.0014243044424802065,0.27456241846084595,0.0007073067827150226,0.10629279166460037,7.484720754291629e-07,0.0001124790360336192,nan,nan,0.0,20.0,0.0016448770184069872,0.0016448770184069872,0.001843244768679142
43,7,nerf,1.2787634134292603,1.2787634134292603,0.0,1.2787634134292603,0.0,1.0,0.1,4.998553214170353e-05,nan,0.2625,64,0.03151042014360428,1.0,0.010298168286681175,0.06487280130386353,0.020066404715180397,0.48658281564712524,0.003943261690437794,0.21004335582256317,4.172759872744791e-06,0.00022226788860280067,nan,nan,0.0,20.0,0.0017504163552075624,0.0017504163552075624,0.0019687253516167402
44,16,nerf,1.263322353363037,1.263322353363037,0.0,1.263322353363037,0.0,1.0,0.1,4.998418713887632e-05,nan,0.26875,64,0.02982824109494686,1.0,0.009972332045435905,0.06537538021802902,0.016310006380081177,0.4865826368331909,0.003256560070440173,0.19458405673503876,3.446091795922257e-06,0.0002059088583337143,nan,nan,0.0,20.0,0.0018582537304610014,0.0018582537304610014,0.0021173085551708937
45,1,nerf,1.2284822463989258,1.2284822463989258,0.0,1.2284822463989258,0.0,1.0,0.1,4.998278238526125e-05,nan,0.275,64,0.033269189298152924,1.0,0.009570964612066746,0.06570512056350708,0.008570713922381401,0.4865826368331909,0.0020202817395329475,0.19491587579250336,2.137861883966252e-06,0.00020625998149625957,nan,nan,0.0,20.0,0.001976431580260396,0.001976431580260396,0.00221869139932096
46,15,nerf,1.2996163368225098,1.2996163368225098,0.0,1.2996163368225098,0.0,1.0,0.1,4.99813178843948e-05,nan,0.28125,64,0.03173253685235977,1.0,0.010288065299391747,0.0648571327328682,0.02001064084470272,0.4865826368331909,0.003935676068067551,0.2153458446264267,4.164732672506943e-06,0.00022787897614762187,nan,nan,0.0,20.0,0.0021029699128121138,0.0021029699128121138,0.002366314409300685
47,5,nerf,1.2091501951217651,1.2091501951217651,0.0,1.2091501951217651,0.0,1.0,0.1,4.997979363996384e-05,nan,0.2875,64,0.03236251696944237,1.0,0.009355878457427025,0.0655236691236496,0.0014030958991497755,0.27224254608154297,0.0007006371743045747,0.11355245858430862,7.414142828565673e-07,0.0001201612176373601,nan,nan,0.0,20.0,0.0022324840538203716,0.0022324840538203716,0.002549986355006695
48,6,nerf,1.2641050815582275,1.2641050815582275,0.0,1.2641050815582275,0.0,1.0,0.1,4.997820965580566e-05,nan,0.29375,64,0.030962776392698288,1.0,0.009956860914826393,0.0653572678565979,0.01623658463358879,0.48658257722854614,0.0032465681433677673,0.2095782607793808,3.435518465266796e-06,0.00022177571372594684,nan,nan,0.0,20.0,0.002375406678766012,0.002375406678766012,0.0026855948381125927
49,8,nerf,1.2388696670532227,1.2388696670532227,0.0,1.2388696670532227,0.0,1.0,0.1,4.9976565935907916e-05,nan,0.3,64,0.032006360590457916,1.0,0.009555477648973465,0.06567282974720001,0.008498091250658035,0.4865831732749939,0.002009935677051544,0.16481530666351318,2.1269138414936606e-06,0.00017440755618736148,nan,nan,0.0,20.0,0.0025231323670595884,0.0025231323670595884,0.0029036011546850204
50,10,nerf,1.2608745098114014,1.2608745098114014,0.0,1.2608745098114014,0.0,1.0,0.1,4.997486248440871e-05,nan,0.30625,64,0.02928921766579151,1.0,0.009948283433914185,0.06531905382871628,0.016199275851249695,0.48658281564712524,0.003240741789340973,0.20927377045154572,3.429353000683477e-06,0.00022145350521896034,nan,nan,0.0,20.0,0.00269022723659873,0.00269022723659873,0.0030632212292402983
51,0,nerf,1.1733572483062744,1.1733572483062744,0.0,1.1733572483062744,0.0,1.0,0.1,4.9973099305596445e-05,nan,0.3125,64,0.040558937937021255,1.0,0.00930345430970192,0.06494355201721191,0.00022644150885753334,0.06192868947982788,0.00018747869762592018,0.04579643905162811,1.9838995513055124e-07,4.846179217565805e-05,nan,nan,0.0,20.0,0.002858859021216631,0.002858859021216631,0.003313132794573903
52,12,nerf,1.2276808023452759,1.2276808023452759,0.0,1.2276808023452759,0.0,1.0,0.1,4.997127640390994e-05,nan,0.31875,64,0.031163834035396576,1.0,0.009540706872940063,0.06563840806484222,0.008459275588393211,0.48658299446105957,0.002003953792154789,0.16501493752002716,2.1205839857429964e-06,0.00017461880634073168,nan,nan,0.0,20.0,0.003046751022338867,0.003046751022338867,0.0035422106739133596
53,11,nerf,1.2747668027877808,1.2747668027877808,0.0,1.2747668027877808,0.0,1.0,0.1,4.9969393783938334e-05,nan,0.325,64,0.028455309569835663,1.0,0.010254359804093838,0.06481343507766724,0.019847162067890167,0.48658281564712524,0.00391249917447567,0.2099500298500061,4.140206783631584e-06,0.00022216912475414574,nan,nan,0.0,20.0,0.0032549516763538122,0.0032549516763538122,0.0037843037862330675
54,14,nerf,1.231343150138855,1.231343150138855,0.0,1.231343150138855,0.0,1.0,0.1,4.996745145042113e-05,nan,0.33125,64,0.03053577058017254,1.0,0.009528515860438347,0.06563159078359604,0.00839543528854847,0.48658299446105957,0.001994818914681673,0.1939627081155777,2.1109176486788783e-06,0.00020525134459603578,nan,nan,0.0,20.0,0.003469066461548209,0.003469066461548209,0.0040067401714622974
55,4,nerf,1.2198030948638916,1.2198030948638916,0.0,1.2198030948638916,0.0,1.0,0.1,4.996544940824816e-05,nan,0.3375,64,0.03153818100690842,1.0,0.009314210154116154,0.06546186655759811,0.0013541397638618946,0.267245352268219,0.0006849832134321332,0.10520847886800766,7.248492011058261e-07,0.00011133161751786247,nan,nan,0.0,20.0,0.0036981941666454077,0.0036981941666454077,0.004321072716265917
56,8,nerf,1.2341816425323486,1.2341816425323486,0.0,1.2341816425323486,0.0,1.0,0.1,4.9963387662459536e-05,nan,0.34375,64,0.032006360590457916,1.0,0.009514683857560158,0.06558337807655334,0.00832500122487545,0.4865812063217163,0.0019844179041683674,0.1645151674747467,2.0999109437980223e-06,0.00017408996063750237,nan,nan,0.0,20.0,0.0039528729394078255,0.0039528729394078255,0.004645210225135088
57,0,nerf,1.1692910194396973,1.1692910194396973,0.0,1.1692910194396973,0.0,1.0,0.1,4.996126621824573e-05,nan,0.35,64,0.040558937937021255,1.0,0.009264868684113026,0.06496548652648926,0.00021433447545859963,0.059302568435668945,0.00017890529124997556,0.04440729692578316,1.8931756073925499e-07,4.699180135503411e-05,nan,nan,0.0,20.0,0.004224575590342283,0.004224575590342283,0.004978880751878023
58,7,nerf,1.270017147064209,1.270017147064209,0.0,1.270017147064209,0.0,1.0,0.1,4.995908508094745e-05,nan,0.35625,64,0.03151042014360428,1.0,0.010215483605861664,0.06481572240591049,0.019609570503234863,0.48658281564712524,0.00388055806979537,0.20967786014080048,4.1064067772822455e-06,0.0002218811132479459,nan,nan,0.0,20.0,0.004538709297776222,0.004538709297776222,0.005342912394553423
59,14,nerf,1.2267346382141113,1.2267346382141113,0.0,1.2267346382141113,0.0,1.0,0.1,4.9956844256055725e-05,nan,0.3625,64,0.03053577058017254,1.0,0.009488595649600029,0.06556370854377747,0.008234439417719841,0.4865824580192566,0.0019709784537553787,0.19331558048725128,2.08568962989375e-06,0.00020456654601730406,nan,nan,0.0,20.0,0.004858339671045542,0.004858339671045542,0.005670666228979826
60,15,nerf,1.290182113647461,1.290182113647461,0.0,1.290182113647461,0.0,1.0,0.1,4.995454374921181e-05,nan,0.36875,64,0.03173253685235977,1.0,0.010195748880505562,0.06477019190788269,0.01950198970735073,0.48658281564712524,0.003865958424285054,0.21382416784763336,4.090957190783229e-06,0.00022626873396802694,nan,nan,0.0,20.0,0.005225791595876217,0.005225791595876217,0.006090978626161814
61,1,nerf,1.21683931350708,1.21683931350708,0.0,1.21683931350708,0.0,1.0,0.1,4.995218356620726e-05,nan,0.375,64,0.033269189298152924,1.0,0.009467492811381817,0.06549162417650223,0.008153283968567848,0.48658281564712524,0.0019577411003410816,0.19385522603988647,2.071681365123368e-06,0.00020513760682661086,nan,nan,0.0,20.0,0.005602420773357153,0.005602420773357153,0.006556755397468805
62,16,nerf,1.2500362396240234,1.2500362396240234,0.0,1.2500362396240234,0.0,1.0,0.1,4.9949763712983796e-05,nan,0.38125,64,0.02982824109494686,1.0,0.009850630536675453,0.0652453601360321,0.015672339126467705,0.48658287525177,0.00316816009581089,0.19315601885318756,3.352547082613455e-06,0.00020439770014490932,nan,nan,0.0,20.0,0.00602662144228816,0.00602662144228816,0.007133529521524906
63,5,nerf,1.1948931217193604,1.1948931217193604,0.0,1.1948931217193604,0.0,1.0,0.1,4.994728419563342e-05,nan,0.3875,64,0.03236251696944237,1.0,0.009234262630343437,0.06534362584352493,0.0012465505860745907,0.2544742822647095,0.0006497706053778529,0.1098988875746727,6.875873168610269e-07,0.00011629500659182668,nan,nan,0.0,20.0,0.006488468032330275,0.006488468032330275,0.0077172028832137585
64,17,nerf,1.2108668088912964,1.2108668088912964,0.0,1.2108668088912964,0.0,1.0,0.1,4.99447450203983e-05,nan,0.39375,64,0.02800915390253067,1.0,0.009221850894391537,0.06529530882835388,0.0012154113501310349,0.25117719173431396,0.0006392062059603631,0.1019895002245903,6.764080353605095e-07,0.00010792529064929113,nan,nan,0.0,20.0,0.0069948481395840645,0.0069948481395840645,0.008322055451571941
65,6,nerf,1.2465085983276367,1.2465085983276367,0.0,1.2465085983276367,0.0,1.0,0.1,4.994214619367083e-05,nan,0.4,64,0.030962776392698288,1.0,0.009803475812077522,0.06521693617105484,0.015463793650269508,0.48658251762390137,0.0031393643002957106,0.2119724154472351,3.322075372125255e-06,0.00022430921671912074,nan,nan,0.0,20.0,0.0075795589946210384,0.0075795589946210384,0.008889833465218544
66,13,nerf,1.1802763938903809,1.1802763938903809,0.0,1.1802763938903809,0.0,1.0,0.1,4.993948772199352e-05,nan,0.40625,64,0.03298387676477432,1.0,0.0091494619846344,0.06492503732442856,0.00018641284259501845,0.05291980504989624,0.00015860702842473984,0.040970150381326675,1.6783795331321016e-07,4.3354615627322346e-05,nan,nan,0.0,20.0,0.008172235451638699,0.008172235451638699,0.009749368764460087
67,11,nerf,1.2575256824493408,1.2575256824493408,0.0,1.2575256824493408,0.0,1.0,0.1,4.99367696120591e-05,nan,0.4125,64,0.028455309569835663,1.0,0.010088147595524788,0.06461208313703537,0.01898755133152008,0.48658257722854614,0.003792789299041033,0.20820778608322144,4.013529633084545e-06,0.00022032548440620303,nan,nan,0.0,20.0,0.008902483619749546,0.008902483619749546,0.010570394806563854
